transaction_id,date_key,account_key,customer_key,branch_key,product_key,channel_key,transaction_type,dr_cr_indicator,transaction_amount,transaction_fee,balance_after_transaction,transaction_status
TXN000022,20260207,6,6,1,1,1,POS Purchase,DR,8076.26,0.0,931681.39,Failed
TXN000120,20260207,2,2,2,1,2,Salary Credit,CR,87327.76,0.0,254586.65,Success
TXN000073,20260209,5,5,2,3,5,POS Purchase,DR,16443.91,32.89,415570.24,Success
TXN000015,20260210,10,10,5,1,6,Salary Credit,CR,130038.61,0.0,139604.42,Success
TXN000048,20260210,4,4,4,1,6,Salary Credit,CR,73514.1,0.0,122255.96,Success
TXN000083,20260210,9,9,5,2,5,Interest Credit,CR,1551.0,0.0,2057263.21,Success
TXN000109,20260211,10,10,5,1,3,Salary Credit,CR,155456.0,0.0,210767.83,Success
TXN000066,20260214,2,2,2,1,3,Loan EMI,DR,37179.74,0.0,165848.71,Reversed
TXN000059,20260217,9,9,5,2,1,Card Payment,DR,27715.75,27.72,2113993.83,Success
TXN000010,20260218,4,4,4,1,1,Bill Payment,DR,22779.83,22.78,8176.15,Success
TXN000041,20260218,1,1,1,1,2,Cash Deposit,CR,49268.38,49.27,77233.07,Failed
TXN000088,20260219,3,3,3,2,2,NEFT Transfer,DR,35379.67,0.0,1504077.75,Success
TXN000030,20260221,12,6,1,5,3,UPI Payment,DR,22017.38,44.03,-3109619.04,Success
TXN000040,20260222,4,4,4,1,2,Interest Credit,CR,1229.33,0.0,19756.77,Success
TXN000061,20260222,6,6,1,1,5,Card Payment,DR,37523.99,0.0,867929.7,Success
TXN000113,20260222,2,2,2,1,2,Interest Credit,CR,1410.18,0.0,167258.89,Success
TXN000004,20260223,12,6,1,5,5,Salary Credit,CR,100135.31,0.0,-3149864.69,Success
TXN000074,20260223,3,3,3,2,2,POS Purchase,DR,33930.43,0.0,1539457.42,Success
TXN000091,20260223,5,5,2,3,4,Loan EMI,DR,59093.49,0.0,355655.94,Success
TXN000019,20260224,3,3,3,2,6,Card Payment,DR,3363.68,3.36,1518795.76,Success
TXN000042,20260224,8,8,3,1,3,Loan EMI,DR,53697.89,0.0,49148.04,Success
TXN000105,20260224,6,6,1,1,5,UPI Payment,DR,3634.05,7.27,745098.6,Success
TXN000070,20260225,1,1,1,1,6,Cash Deposit,CR,26092.03,52.18,215176.45,Success
TXN000007,20260228,1,1,1,1,6,Loan EMI,DR,19864.05,0.0,48191.97,Failed
TXN000049,20260228,11,3,3,4,3,UPI Payment,DR,46465.11,0.0,-220635.15,Success
TXN000096,20260228,6,6,1,1,2,UPI Payment,DR,17007.53,17.01,836213.92,Success
TXN000117,20260228,6,6,1,1,6,Bill Payment,DR,15469.82,0.0,701694.63,Success
TXN000038,20260301,3,3,3,2,3,Salary Credit,CR,161800.46,0.0,1658193.22,Success
TXN000089,20260301,6,6,1,1,5,POS Purchase,DR,3300.83,3.3,853238.46,Success
TXN000110,20260301,8,8,3,1,2,Card Payment,DR,30594.52,30.59,166313.49,Success
TXN000028,20260302,3,3,3,2,6,Loan EMI,DR,22403.0,0.0,1496392.76,Success
TXN000079,20260302,1,1,1,1,2,Card Payment,DR,42516.94,0.0,172659.51,Success
TXN000119,20260303,4,4,4,1,2,Bill Payment,DR,36284.33,72.57,93393.64,Success
TXN000027,20260304,2,2,2,1,6,Cash Withdrawal,DR,48903.63,97.81,152158.76,Success
TXN000092,20260304,10,10,5,1,2,Salary Credit,CR,74575.62,0.0,85047.44,Success
TXN000114,20260304,8,8,3,1,6,Interest Credit,CR,1992.69,0.0,168875.87,Success
TXN000018,20260305,3,3,3,2,5,Cash Withdrawal,DR,37837.95,0.0,1522162.8,Success
TXN000003,20260306,4,4,4,1,2,Card Payment,DR,1521.49,0.0,30978.76,Success
TXN000023,20260306,12,6,1,5,3,NEFT Transfer,DR,25482.55,0.0,-3087557.63,Success
TXN000024,20260306,5,5,2,3,6,Card Payment,DR,10105.77,10.11,444927.63,Success
TXN000055,20260306,11,3,3,4,3,Interest Credit,CR,665.25,0.0,-219969.9,Success
TXN000069,20260307,7,7,4,1,5,Cash Withdrawal,DR,19382.73,38.77,36691.33,Success
TXN000116,20260309,8,8,3,1,5,UPI Payment,DR,21390.09,42.78,147443.0,Success
TXN000108,20260310,5,5,2,3,5,Interest Credit,CR,1188.94,0.0,356844.88,Success
TXN000002,20260311,11,3,3,4,6,Cash Withdrawal,DR,29606.53,0.0,-167002.14,Success
TXN000075,20260312,5,5,2,3,4,Cash Deposit,CR,15332.97,0.0,430903.21,Success
TXN000084,20260312,9,9,5,2,4,Interest Credit,CR,2248.16,0.0,2059511.37,Success
TXN000046,20260314,7,7,4,1,1,Salary Credit,CR,118943.26,0.0,64257.14,Success
TXN000100,20260314,11,3,3,4,1,Salary Credit,CR,102429.93,0.0,-175101.41,Success
TXN000034,20260315,12,6,1,5,5,Interest Credit,CR,645.34,0.0,-3108973.7,Success
TXN000017,20260316,5,5,2,3,6,POS Purchase,DR,44911.58,44.91,455043.51,Success
TXN000112,20260318,6,6,1,1,3,Bill Payment,DR,27878.39,55.76,717164.45,Failed
TXN000101,20260319,6,6,1,1,2,Card Payment,DR,48193.99,96.39,748739.92,Success
TXN000052,20260320,12,6,1,5,3,Loan EMI,DR,12492.86,0.0,-3121466.56,Success
TXN000072,20260321,11,3,3,4,3,UPI Payment,DR,33236.7,0.0,-253206.6,Success
TXN000086,20260322,9,9,5,2,4,Salary Credit,CR,74816.63,0.0,2134328.0,Success
TXN000013,20260323,7,7,4,1,3,Loan EMI,DR,25835.76,0.0,-21635.76,Success
TXN000056,20260323,1,1,1,1,1,POS Purchase,DR,41501.53,0.0,35731.54,Success
TXN000076,20260325,10,10,5,1,5,UPI Payment,DR,23356.41,23.36,29614.8,Success
TXN000098,20260325,6,6,1,1,2,Cash Withdrawal,DR,39105.41,78.21,797030.3,Success
TXN000047,20260326,2,2,2,1,4,Card Payment,DR,28348.3,28.35,203028.45,Failed
TXN000011,20260327,6,6,1,1,2,Bill Payment,DR,35150.65,70.3,939757.65,Success
TXN000071,20260327,12,6,1,5,6,Salary Credit,CR,87812.11,0.0,-3033654.45,Success
TXN000093,20260327,7,7,4,1,3,POS Purchase,DR,36264.23,36.26,390.84,Success
TXN000021,20260329,12,6,1,5,1,Loan EMI,DR,59305.3,0.0,-3062075.08,Success
TXN000104,20260329,12,6,1,5,3,Card Payment,DR,40315.29,80.63,-3085170.86,Success
TXN000115,20260330,4,4,4,1,4,Salary Credit,CR,79399.87,0.0,201655.83,Success
TXN000005,20260331,1,1,1,1,2,POS Purchase,DR,17144.48,0.0,68056.02,Success
