date_key,full_date,day_number,day_name,week_number,month_number,month_name,quarter,year,is_weekend
20260310,2026-03-10,10,Tuesday,11,3,March,Q1,2026,N
20260311,2026-03-11,11,Wednesday,11,3,March,Q1,2026,N
20260312,2026-03-12,12,Thursday,11,3,March,Q1,2026,N
20260313,2026-03-13,13,Friday,11,3,March,Q1,2026,N
20260314,2026-03-14,14,Saturday,11,3,March,Q1,2026,Y
20260315,2026-03-15,15,Sunday,11,3,March,Q1,2026,Y
20260316,2026-03-16,16,Monday,12,3,March,Q1,2026,N
20260317,2026-03-17,17,Tuesday,12,3,March,Q1,2026,N
20260318,2026-03-18,18,Wednesday,12,3,March,Q1,2026,N
20260319,2026-03-19,19,Thursday,12,3,March,Q1,2026,N
20260320,2026-03-20,20,Friday,12,3,March,Q1,2026,N
20260321,2026-03-21,21,Saturday,12,3,March,Q1,2026,Y
20260322,2026-03-22,22,Sunday,12,3,March,Q1,2026,Y
20260323,2026-03-23,23,Monday,13,3,March,Q1,2026,N
20260324,2026-03-24,24,Tuesday,13,3,March,Q1,2026,N
20260325,2026-03-25,25,Wednesday,13,3,March,Q1,2026,N
20260326,2026-03-26,26,Thursday,13,3,March,Q1,2026,N
20260327,2026-03-27,27,Friday,13,3,March,Q1,2026,N
20260328,2026-03-28,28,Saturday,13,3,March,Q1,2026,Y
20260329,2026-03-29,29,Sunday,13,3,March,Q1,2026,Y
20260330,2026-03-30,30,Monday,14,3,March,Q1,2026,N
20260331,2026-03-31,31,Tuesday,14,3,March,Q1,2026,N
